id,nome,data_nascimento,cpf,convenio,telefone
47,Gustavo Costa,1945-02-16,429.341.817-57,SUS,65973993471
48,José Antônio Soares,1947-03-10,436.344.828-58,SUS,62989864260
49,Diego Mendes,1961-02-06,443.347.839-59,Unimed,62986460539
50,Rodrigo Barbosa,1943-07-26,450.350.850-60,SulAmérica,62966267415
51,Zélia Lima,1958-04-29,457.353.861-61,Hapvida,64942035886
52,Eliane Rodrigues,2000-04-04,464.356.872-62,Hapvida,64971367643
53,Zélia Cruz,1946-07-05,471.359.883-63,SUS,67993370583
54,Francisco Fernandes,1959-02-14,478.362.894-64,Amil,64927778019
55,Yasmin Oliveira,1961-11-30,485.365.905-65,Particular,64931172421
56,Tatiana Fernandes,2003-02-12,492.368.916-66,Particular,65997775215
57,Diego Nunes,1989-10-03,499.371.927-67,Particular,62928024248
58,Francisca Figueira,1949-08-08,506.374.938-68,Notre Dame,65930863865
59,Patrícia Barbosa,1958-11-23,513.377.949-69,Notre Dame,64937326368
60,Isabela Lopes,1962-07-12,520.380.960-70,SUS,62995132217
61,Tatiana Lima,1943-12-15,527.383.971-71,SUS,64927558317
62,Luzia Helena Araújo,1979-08-22,534.386.982-72,Amil,67985283645
63,Raimundo Oliveira,2001-12-29,541.389.993-73,SUS,65914835614
64,Karen Fernandes,1953-04-14,548.392.1004-74,Unimed,61915614174
65,Daniela Figueira,1943-07-31,555.395.1015-75,Particular,61943491314
66,Marcos Vinícius Cruz,1990-03-25,562.398.1026-76,Unimed,65930743797
67,Kleber Ferreira,1955-11-19,569.401.1037-77,Unimed,62934073380
68,Sandra Pinto,1976-12-08,576.404.1048-78,Hapvida,61945810056
69,Igor Nascimento,1949-09-12,583.407.1059-79,Unimed,62973174945
70,Manoel Nunes,1981-04-18,590.410.1070-80,Particular,64940547349
71,João Carlos Cardoso,1957-04-29,597.413.1081-81,Unimed,64947393469
72,Henrique Lima,1971-07-03,604.416.1092-82,Hapvida,65963643924
73,Maria das Graças Santos,1963-06-08,611.419.1103-83,SUS,65945630292
74,Raimundo Barbosa,1978-12-26,618.422.1114-84,Particular,64968571795
75,Lucas Figueira,1991-09-23,625.425.1125-85,SUS,64915957459
76,Maria das Graças Soares,1988-04-21,632.428.1136-86,Hapvida,61958884978
77,Antônia Cardoso,1969-08-15,639.431.1147-87,SulAmérica,64999038359
78,Gustavo Figueira,1966-12-10,646.434.1158-88,Amil,64999508850
79,Camila Martins,2002-07-20,653.437.1169-89,Particular,65927084279
80,Gabriel Cardoso,1974-01-05,660.440.1180-90,Hapvida,61992613013
81,Eliane Fernandes,1940-01-14,667.443.1191-91,Particular,64938210242
82,Sandra Vieira,1994-06-05,674.446.1202-92,Hapvida,64972409658
83,Giovanna Cardoso,1959-03-04,681.449.1213-93,Amil,67932775593
84,Edilson Soares,1999-07-23,688.452.1224-94,Hapvida,65954988206
85,Júlio Cruz,1961-01-26,695.455.1235-95,Hapvida,64940150759
86,Antônio Silva,1944-02-23,702.458.1246-96,SUS,67992043803
87,Rafael Carvalho,1996-07-01,709.461.1257-97,SulAmérica,61961536717
88,Eliane Pereira,1953-03-28,716.464.1268-98,Hapvida,62924305904
89,Fernanda Ferreira,2002-06-07,723.467.1279-99,Amil,67916740197
90,Kleber Santos,1980-12-13,730.470.1290-10,SUS,67999600766
91,Renata Figueira,1979-09-15,737.473.1301-11,SulAmérica,65967276174
92,Yasmin Ferreira,2006-09-19,744.476.1312-12,Bradesco Saúde,67944788100
93,Júlio Rocha,1964-11-16,751.479.1323-13,Amil,67994120751
94,André Luís Almeida,1946-12-13,758.482.1334-14,Notre Dame,64941473195
95,Camila Costa,1988-06-16,765.485.1345-15,SUS,61930244148
96,Lucas Nascimento,1953-09-16,772.488.1356-16,Notre Dame,61918620650
97,Flávia Costa,1988-09-05,779.491.1367-17,Bradesco Saúde,67918357162
98,Júlio Carvalho,1974-12-10,786.494.1378-18,SulAmérica,62987267850
99,Helena Silva,1971-07-23,793.497.1389-19,Particular,67966240084
100,Thiago Pereira,1964-06-26,800.500.1400-20,Unimed,67913895645
101,Camila Cardoso,2000-12-05,807.503.1411-21,Unimed,61972732043
102,Alexandre Fernandes,1942-06-02,814.506.1422-22,Unimed,65985751409
103,Francisco Rocha,1978-06-14,821.509.1433-23,SUS,67934391257
104,André Luís Martins,1969-05-14,828.512.1444-24,SUS,67953868501
105,Renata Figueira,1974-01-05,835.515.1455-25,Particular,67943859311
106,Thiago Silva,2007-03-14,842.518.1466-26,Amil,62956970882
107,Bruno Oliveira,2010-02-01,849.521.1477-27,Hapvida,62914164775
108,Manoel Nunes,1941-10-29,856.524.1488-28,SulAmérica,61942016960
109,Thiago Cardoso,1950-04-06,863.527.1499-29,SulAmérica,61972415804
110,Renata Ribeiro,1955-01-20,870.530.1510-30,SulAmérica,65925372341
111,Edilson Santos,1991-12-01,877.533.1521-31,SUS,64987282128
112,Eliane Nascimento,1957-10-16,884.536.1532-32,SUS,65994187049
113,Raimundo Nascimento,2009-04-20,891.539.1543-33,Particular,65926247735
114,Marcos Vinícius Fernandes,1978-06-07,898.542.1554-34,Hapvida,64919255216
115,Maria das Graças Mendes,1977-09-07,905.545.1565-35,Bradesco Saúde,62968186525
116,Mariana Figueira,1981-03-30,912.548.1576-36,Notre Dame,61968450095
117,Gustavo Soares,1998-05-10,919.551.1587-37,Particular,65982232344
118,Giovanna Carvalho,2005-08-01,926.554.1598-38,SulAmérica,64953258988
119,Júlio Pinto,1947-10-10,933.557.1609-39,Particular,67942730796
120,Karen Barbosa,1999-12-12,940.560.1620-40,Unimed,64913852048
